"","m","mutationProba","selStrength","propA"
"1",0.001,1e-04,0.05,0.986771572873283
"2",0.01,1e-04,0.05,0.319485404044992
"3",0.025,1e-04,0.05,0.0337043793436613
"4",0.05,1e-04,0.05,0.991185808795612
"5",0.075,1e-04,0.05,0.912001299395028
"6",0.1,1e-04,0.05,0.971958141203993
"7",0.125,1e-04,0.05,0.987926927411071
"8",0.15,1e-04,0.05,0.965103161206626
"9",0.2,1e-04,0.05,0.986946395885332
"10",0.001,0.001,0.05,0.529206601304939
"11",0.01,0.001,0.05,0.46755066362355
"12",0.025,0.001,0.05,0.864443483441689
"13",0.05,0.001,0.05,0.919356038593403
"14",0.075,0.001,0.05,0.538023406325311
"15",0.1,0.001,0.05,0.55549599044782
"16",0.125,0.001,0.05,0.95739884457101
"17",0.15,0.001,0.05,0.922089599895016
"18",0.2,0.001,0.05,0.928782975551906
"19",0.001,0.01,0.05,0.447846341174094
"20",0.01,0.01,0.05,0.363855724367655
"21",0.025,0.01,0.05,0.537191959608858
"22",0.05,0.01,0.05,0.52487499224118
"23",0.075,0.01,0.05,0.628457371812338
"24",0.1,0.01,0.05,0.717035373264526
"25",0.125,0.01,0.05,0.797613297033973
"26",0.15,0.01,0.05,0.722376313250958
"27",0.2,0.01,0.05,0.766695337121271
"28",0.001,0.1,0.05,0.435534071970633
"29",0.01,0.1,0.05,0.450692044761792
"30",0.025,0.1,0.05,0.462167884251505
"31",0.05,0.1,0.05,0.482857639824857
"32",0.075,0.1,0.05,0.483922703417948
"33",0.1,0.1,0.05,0.496343161953014
"34",0.125,0.1,0.05,0.503794152370033
"35",0.15,0.1,0.05,0.502466821901546
"36",0.2,0.1,0.05,0.523937016267012
"37",0.001,1e-04,0.2,0.0124864286770116
"38",0.01,1e-04,0.2,0.0322131758599071
"39",0.025,1e-04,0.2,0.968350040161897
"40",0.05,1e-04,0.2,0.975433349767322
"41",0.075,1e-04,0.2,0.962836258514343
"42",0.1,1e-04,0.2,0.975701897148919
"43",0.125,1e-04,0.2,0.978739407371392
"44",0.15,1e-04,0.2,0.99056556071537
"45",0.2,1e-04,0.2,0.992061808920887
"46",0.001,0.001,0.2,0.0704945790251875
"47",0.01,0.001,0.2,0.137905351610711
"48",0.025,0.001,0.2,0.02728107933753
"49",0.05,0.001,0.2,0.412764390326663
"50",0.075,0.001,0.2,0.967259374865253
"51",0.1,0.001,0.2,0.958377624021967
"52",0.125,0.001,0.2,0.948728766423041
"53",0.15,0.001,0.2,0.978797313086791
"54",0.2,0.001,0.2,0.973375360111632
"55",0.001,0.01,0.2,0.151060751128971
"56",0.01,0.01,0.2,0.181692698636321
"57",0.025,0.01,0.2,0.287919065628947
"58",0.05,0.01,0.2,0.718653468473615
"59",0.075,0.01,0.2,0.742983708421137
"60",0.1,0.01,0.2,0.752157219023012
"61",0.125,0.01,0.2,0.813180286149817
"62",0.15,0.01,0.2,0.863705558478116
"63",0.2,0.01,0.2,0.857822592620347
"64",0.001,0.1,0.2,0.323522950357597
"65",0.01,0.1,0.2,0.338160035998123
"66",0.025,0.1,0.2,0.363321109656796
"67",0.05,0.1,0.2,0.409597635733454
"68",0.075,0.1,0.2,0.440643961469771
"69",0.1,0.1,0.2,0.452072568631135
"70",0.125,0.1,0.2,0.492625090032827
"71",0.15,0.1,0.2,0.504453632991751
"72",0.2,0.1,0.2,0.526454751158686
